timestamp	sensor_type	std_a_	std_yawdd_	std_laspx_	std_laspy_	std_radr_	std_radphi_	std_radrd_	Estimated px	Estimated py	Estimated vx	Estimated yaw_angle	Estimated yaw_rate	Measured px	Measured py	NIS	GT px	GT py	GT vx	GT vy	RSME px	RSME py	RSME vx	RSME vy	
24850	R	1.5	2	0.15	0.15	0.3	0.03	0.3	-7.52515	10.883	5.08587	0.00094741	0.0330662	-7.25987	10.6458	1.559883	-7.49981	10.9061	5.19975	0.00539029	0.0709299	0.0840507	0.366228	0.238545	
24850	R	1.5	2.5	0.15	0.15	0.3	0.03	0.3	-7.52543	10.8831	5.0912	0.00603128	0.055452	-7.25987	10.6458	1.511159	-7.49981	10.9061	5.19975	0.00539029	0.071023	0.0848533	0.371908	0.252974	
24850	R	2	0.5	0.15	0.15	0.3	0.03	0.3	-7.54515	10.8601	4.97185	-0.0456019	-0.109222	-7.25987	10.6458	2.151307	-7.49981	10.9061	5.19975	0.00539029	0.0738065	0.080402	0.352435	0.20686	
24850	R	2	1	0.15	0.15	0.3	0.03	0.3	-7.53217	10.8762	5.03914	-0.0206225	-0.0451055	-7.25987	10.6458	1.809543	-7.49981	10.9061	5.19975	0.00539029	0.0727576	0.0822585	0.353808	0.21504	
24850	R	2	1.5	0.15	0.15	0.3	0.03	0.3	-7.52862	10.8805	5.06807	-0.00736899	0.00130273	-7.25987	10.6458	1.648098	-7.49981	10.9061	5.19975	0.00539029	0.0727447	0.0836684	0.359276	0.229854	
24850	R	2	2	0.15	0.15	0.3	0.03	0.3	-7.52755	10.8818	5.08456	0.00121157	0.0359256	-7.25987	10.6458	1.558340	-7.49981	10.9061	5.19975	0.00539029	0.0728253	0.0847084	0.364891	0.24456	
24850	R	2	2.5	0.15	0.15	0.3	0.03	0.3	-7.52736	10.8822	5.09497	0.00694829	0.0606048	-7.25987	10.6458	1.508809	-7.49981	10.9061	5.19975	0.00539029	0.0729166	0.0855168	0.370243	0.258444	
24850	R	2.5	0.5	0.15	0.15	0.3	0.03	0.3	-7.55135	10.8566	4.93475	-0.048294	-0.112998	-7.25987	10.6458	2.123654	-7.49981	10.9061	5.19975	0.00539029	0.0750582	0.0814669	0.352301	0.215216	
24850	R	2.5	1	0.15	0.15	0.3	0.03	0.3	-7.53552	10.8741	5.0201	-0.0221828	-0.0473572	-7.25987	10.6458	1.801935	-7.49981	10.9061	5.19975	0.00539029	0.0741871	0.0831786	0.353599	0.222721	
24850	R	3	0.5	0.15	0.15	0.3	0.03	0.3	-7.55611	10.8538	4.9014	-0.0505412	-0.116321	-7.25987	10.6458	2.094523	-7.49981	10.9061	5.19975	0.00539029	0.0760331	0.082498	0.35223	0.223256	
24850	R	3	1	0.15	0.15	0.3	0.03	0.3	-7.53821	10.8722	5.00118	-0.0237133	-0.0498388	-7.25987	10.6458	1.792573	-7.49981	10.9061	5.19975	0.00539029	0.0753455	0.0841238	0.353728	0.230324	
24850	R	3	1.5	0.15	0.15	0.3	0.03	0.3	-7.53169	10.8782	5.05203	-0.00847681	0.000868858	-7.25987	10.6458	1.635809	-7.49981	10.9061	5.19975	0.00539029	0.0755098	0.0855329	0.359241	0.244897	
24850	R	2	0.3	0.15	0.15	0.3	0.03	0.3	-7.56071	10.8395	4.90954	-0.0654095	-0.145237	-7.25987	10.6458	2.444733	-7.49981	10.9061	5.19975	0.00539029	0.0772174	0.0808471	0.361393	0.219602	
24850	R	1.5	0.5	0.15	0.15	0.3	0.03	0.3	-7.53668	10.8648	5.01306	-0.0423373	-0.10507	-7.25987	10.6458	2.172696	-7.49981	10.9061	5.19975	0.00539029	0.0721342	0.079461	0.352681	0.198427	
